,R2,RMSE_dollar,MAE_dollar,RMSE_log
XGBoost,0.90841801255125,118694.22517008042,65181.46253686676,0.1615663513894133
Random Forest,0.8929788923562179,138701.8463843036,71141.97038862041,0.17465483237397567
Neural Network,0.862186485654915,167142.5908884906,85822.21678738724,0.1981945871318483
Lasso,0.8564111640152972,226538.22082980198,89391.51766882706,0.2023048166429429
Ridge,0.8563491325573972,229914.77418068066,89580.3635201653,0.20234851052617264
Linear Regression,0.8563433009898659,230035.3178498608,89592.87759169086,0.20235261769604052
